20	13,440	15,360	17,280	19,180	20,720	22,260	23,800	25,320
25	16,800	19,200	21,600	23,975	25,900	27,825	29,750	31,650
30	20,160	23,040	25,920	28,770	31,808	33,390	35,700	37,980
35	23,520	26,880	30,240	33,565	36,260	38,955	41,650	44,310
40	26,880	30,720	34,560	38,360	41,440	44,520	47,600	50,640
45	30,240	34,560	38,880	43,155	46,620	50,085	53,550	56,970
50	33,600	38,400	43,200	47,950	51,800	55,650	59,500	63,300
55	36,960	42,240	47,520	52,740	62,160	66,780	71,400	75,960
60	40,320	46,080	51,840	57,540	62,160	66,780	71,400	75,960
70	47,040	53,760	60,480	67,130	72,520	77,910	83,300	88,620
80	53,760	61,440	69,120	76,720	82,880	89,040	95,200	101,280
100	67,200	76,800	86,400	95,900	103,600	111,300	119,000	126,600
120	80,640	92,160	103,680	115,080	124,320	133,560	142,800	151,920
125	84,000	96,000	108,000	119,875	129,500	139,125	148,750	158,250
140	94,080	107,520	120,960	134,260	145,040	155,820	166,600	177,240
150	100,800	115,200	129,600	143,850	155,400	166,950	178,500	189,900
