20 14140	16160	18180	20200	21820	23440	25060	26680
25 17675	20200	22725	25250	27275	29300	31325	33350
30 21210	24240	27270	30300	32730	35160	37590	40020
35 24745	28280	31815	35350	38185	41020	43855	46690
40 28280	32320	36360	40400	43640	46880	50120	53360
45 31815	36360	40905	45450	49095	52740	56385	60030
50 35350	40400	45450	50500	54550	58600	62650	66700
55 38885	44440	49995	55550	60005	64460	68915	73370
60 42420	48480	54540	60600	65460	70320	75180	80040
70 49490	56560	63630	70700	76370	82040	87710	93380
80 56560	64640	72720	80800	87280	93760	100240	106720
100 70700	80800	90900	101000	109100	117200	125300	133400
120 84840	96960	109080	121200	130920	140640	150360	160080
125 88375	101000	113625	126250	136375	146500	156625	166750
140 98980	113120	127260	141400	152740	164080	175420	186760
150 106050	121200	136350	151500	163650	175800	187950	200100
